   id   |                         idempotency_key                          | symbol  |           ts           |        score        | severity |                        explanation                         | replay_run_id |   raw_anomaly_score   | normalized_anomaly_score | escalation_probability |   priority_score   |   composite_risk    |                      feature_snapshot_hash                       | feature_set_version |    model_version    | calibration_version |                                                                                                                                                                                                                                                                explanation_payload                                                                                                                                                                                                                                                                |            scoring_run_id            |      produced_at       |                          artifact_hash                           |                       model_artifact_hash                        
--------+------------------------------------------------------------------+---------+------------------------+---------------------+----------+------------------------------------------------------------+---------------+-----------------------+--------------------------+------------------------+--------------------+---------------------+------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------+------------------------+------------------------------------------------------------------+------------------------------------------------------------------
 191607 | 138931db08c2959a931617874ad8f39c2d498166fafe2db8de589da2bc8d5759 | HC-079  | 2026-03-01 17:22:27+00 |  0.3191459725548258 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.17557395153762154 |      0.45928991922936924 |    0.02126177034876353 |  17.81947660115209 |  0.3191459725548258 | 1ca72268cca2656fa1dae8004808d6917d92437c383a95dc83134445459aca8e | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 1.079952143327808, "delta_vs_baseline": 1.079952143327808}, {"feature": "z_ret_60", "contribution": 0.05571266843078116, "delta_vs_baseline": -0.05571266843078116}, {"feature": "dq_penalty", "contribution": -0.006672728720000001, "delta_vs_baseline": 0.006672728720000001}, {"feature": "volume_surprise_60", "contribution": 0.0014030220365396603, "delta_vs_baseline": 0.0014030220365396603}]} | c74c7953-94bb-422e-a590-a7d0e5956908 | 2026-03-01 17:41:52+00 | 23b42db67345d44eb5d9a398f610201685b77a00aaa03bb1b030d0488b995400 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191596 | b8d3db78e39ea6c6bc3af758b4366fe4df8988af9e8ce11a6ca83acf611b445d | HC-038  | 2026-03-01 17:22:27+00 | 0.33589846790772077 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.20324197469559588 |       0.5054032911593265 |   0.020057281689545656 |  18.71156224784629 | 0.33589846790772077 | cb81c94f6543d710762bfe683c032a2f481094cd63d2b2843c0a832143573004 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 1.8235249189768552, "delta_vs_baseline": 1.8235249189768552}, {"feature": "ewma_vol_60", "contribution": 0.5598823414036177, "delta_vs_baseline": 0.5598823414036177}, {"feature": "volume_surprise_60", "contribution": 0.35347376340345293, "delta_vs_baseline": 0.35347376340345293}, {"feature": "dq_penalty", "contribution": -0.00682769304, "delta_vs_baseline": 0.00682769304}]}                    | 7c071ef6-a565-4dac-9235-d7582fb606d3 | 2026-03-01 17:41:52+00 | c3badfc7aabfe49e04cf419bb7b7cfecb43055db1a7b9ea3957e5b9719808341 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191595 | 0e0680cf9e77d143c456e942cd726329ee31ecb33ff633d3cc5bc07ac742d632 | HC-034  | 2026-03-01 17:22:27+00 |  0.3097273576315991 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.16032992948001443 |       0.4338832158000241 |    0.02187864763041116 | 17.306941735952975 |  0.3097273576315991 | bdbf4c7e22b5fcf128ca4a4ddb202b5b38d7e88e5e9c458e91921a9980789366 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 0.8638137848387067, "delta_vs_baseline": -0.8638137848387067}, {"feature": "volume_surprise_60", "contribution": 0.8556317093283642, "delta_vs_baseline": 0.8556317093283642}, {"feature": "ewma_vol_60", "contribution": 0.19217177633983742, "delta_vs_baseline": 0.19217177633983742}, {"feature": "dq_penalty", "contribution": -0.006878872793333333, "delta_vs_baseline": 0.006878872793333333}]}     | f19757aa-05aa-4c46-a029-a8d7cb5918c4 | 2026-03-01 17:41:52+00 | 3ce292cd8ce07fff27a44c6f2490a6d54d2b245b08871e7a0ddd43b42dc5521c | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191594 | 51eb0103bf59d759c23220a834380c22565b4528eed3eabed440b7bced9982ed | HC-033  | 2026-03-01 17:22:27+00 | 0.31425198632375806 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |   -0.1708914172035176 |        0.451485695339196 |   0.020890330697130265 | 17.354237205251746 | 0.31425198632375806 | fa57a73838eb8fc96575c32ddf6989f604666bf275fc65cef79647d7800b9816 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 1.7993109137015963, "delta_vs_baseline": -1.7993109137015963}, {"feature": "volume_surprise_60", "contribution": 0.2583989608536776, "delta_vs_baseline": 0.2583989608536776}, {"feature": "ewma_vol_60", "contribution": 0.19939755311259655, "delta_vs_baseline": 0.19939755311259655}, {"feature": "dq_penalty", "contribution": -0.006876562198333333, "delta_vs_baseline": 0.006876562198333333}]}     | dd44346a-9660-45ba-b057-7f9b2ef24f45 | 2026-03-01 17:41:52+00 | 923de9cdca22f6818a7ac644b9066e88a1425eb66aa9cf8e64bc781745f94bd8 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191593 | ba78fc40d321c0cc1c1887ee0d2e9ec3eff69c5ec85c50c9af6c2d710a432fde | HC-031  | 2026-03-01 17:22:27+00 |  0.3180033077659728 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |   -0.1755076383091129 |      0.45917939718185485 |   0.022191952863243766 |  17.60726712122431 |  0.3180033077659728 | 6f3ec71f427b439a45b975e974dc6905a32ae6dbec6143bd741b858270f71414 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 4.10135260559957, "delta_vs_baseline": 4.10135260559957}, {"feature": "volume_surprise_60", "contribution": 0.32574898738835045, "delta_vs_baseline": 0.32574898738835045}, {"feature": "z_ret_60", "contribution": 0.14833975851595024, "delta_vs_baseline": -0.14833975851595024}, {"feature": "dq_penalty", "contribution": -0.006886881925, "delta_vs_baseline": 0.006886881925}]}                   | 54d25da9-3da1-49be-9ae4-9c27e87edb6c | 2026-03-01 17:41:52+00 | bd3dc8bdf065263e3b71e13b25a19cccbe5a66e10ad56a49e67e8deb08eb85b9 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191592 | 7977c2121944cfa7b9235dadfd6a180f577e017a759ca442a5c782f3af23a4d9 | HC-030  | 2026-03-01 17:22:27+00 |  0.2900924946688639 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.13240896583742773 |       0.3873482763957129 |   0.019667649656770193 |  16.08219642135107 |  0.2900924946688639 | 1b49d5576ce377a5fa8d6cd8587621d2a2333081f535ff8f32b8226f339bc344 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "volume_surprise_60", "contribution": 0.7525587535958427, "delta_vs_baseline": -0.7525587535958427}, {"feature": "z_ret_60", "contribution": 0.6825034500856773, "delta_vs_baseline": -0.6825034500856773}, {"feature": "ewma_vol_60", "contribution": 0.09370799103657648, "delta_vs_baseline": 0.09370799103657648}, {"feature": "dq_penalty", "contribution": -0.006898484833333332, "delta_vs_baseline": 0.006898484833333332}]}    | 4162eb59-4373-4e70-9253-d76ed3edd37a | 2026-03-01 17:41:52+00 | 1997384556c57b28fe0d3647e6ebc7881ee8bf62242a5ca0c41274e399f0a47d | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191591 | a40f5a8072a6156082ce51ab417f78cb21cbf5df46b6a1e36a2f9c7079fafe18 | HC-027  | 2026-03-01 17:22:27+00 | 0.37066311288581605 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.26250416111444563 |       0.6041736018574094 |   0.023003132080267337 | 20.230835479947984 | 0.37066311288581605 | 36797aae026bfc15bcdd5109a7f4677712d693fdbd55621220809fb40ef27575 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 25.597301645517344, "delta_vs_baseline": 25.597301645517344}, {"feature": "z_ret_60", "contribution": 4.657907504654781, "delta_vs_baseline": 4.657907504654781}, {"feature": "volume_surprise_60", "contribution": 0.8512399463760844, "delta_vs_baseline": -0.8512399463760844}, {"feature": "dq_penalty", "contribution": -0.006920771993333332, "delta_vs_baseline": 0.006920771993333332}]}         | ef03440d-b1a2-4b0b-b38f-97728b5b9d5b | 2026-03-01 17:41:52+00 | 70534b07004ea3d8ffd26ec952c0bf94331738e2c0d84fd3c504bb4a17933375 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191590 | b3da75f40a51da500b00a14e06d79b486bb88f8852b9a24df9209830084a8d3a | HC-025  | 2026-03-01 17:22:27+00 | 0.34725665610968226 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |   -0.2257462291599708 |       0.5429103819332847 |   0.022040055254496087 |  18.95311163854328 | 0.34725665610968226 | 5db0ebef9e71318865599af319cc23e64e1df2b7d3e06057056353422b29fdec | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 3.9052781909702765, "delta_vs_baseline": 3.9052781909702765}, {"feature": "volume_surprise_60", "contribution": 0.8835972948059446, "delta_vs_baseline": 0.8835972948059446}, {"feature": "z_ret_60", "contribution": 0.16531274842107702, "delta_vs_baseline": -0.16531274842107702}, {"feature": "dq_penalty", "contribution": -0.006921517108333333, "delta_vs_baseline": 0.006921517108333333}]}     | ea257d07-0092-4f66-a908-68095db28211 | 2026-03-01 17:41:52+00 | 8079ebe146bf3e8b45d91b321db6adf7df49892cd494c5e8bc1aa7c609b1aa36 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191589 | c26acaf74e2a1de4d07aeadbf85d69b3089de84118174890a6dd193dd486abbd | HC-019  | 2026-03-01 17:22:27+00 |   0.304693205744962 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.15331760492845822 |       0.4221960082140971 |   0.018763721940757958 |    17.075622416096 |   0.304693205744962 | 7ebd8dcce6311350883e8a85be77f697cb8e7266e259c117b3f822dda1fad534 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 1.0487207648188703, "delta_vs_baseline": -1.0487207648188703}, {"feature": "ewma_vol_60", "contribution": 0.9211605132972513, "delta_vs_baseline": 0.9211605132972513}, {"feature": "volume_surprise_60", "contribution": 0.9079631520585564, "delta_vs_baseline": -0.9079631520585564}, {"feature": "dq_penalty", "contribution": -0.006924630416666666, "delta_vs_baseline": 0.006924630416666666}]}      | 7ce9223e-2c2b-41c1-943c-75b5b721e0b5 | 2026-03-01 17:41:52+00 | 824447c2998823fe8f26bafefb7a2aa057fda0a42cc58ae695857b12cbbf0630 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191588 | d038df4f169e90930679517d1ad565920289384c26f715d6be4ccb5a9ddb554f | HC-014  | 2026-03-01 17:22:27+00 |   0.332243151027004 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.19850986607417173 |       0.4975164434569529 |   0.020487597920510067 |  18.42331777604479 |   0.332243151027004 | a587b0d7f69392cdf7a03bc7995316476c442f81f69effe33636a26935d167e7 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 0.6440212405556563, "delta_vs_baseline": 0.6440212405556563}, {"feature": "volume_surprise_60", "contribution": 0.3443152499368716, "delta_vs_baseline": 0.3443152499368716}, {"feature": "z_ret_60", "contribution": 0.035000889894767385, "delta_vs_baseline": 0.035000889894767385}, {"feature": "dq_penalty", "contribution": -0.006921995114999999, "delta_vs_baseline": 0.006921995114999999}]}    | 7c4f907a-ab79-4ad0-a383-627e5a3a6786 | 2026-03-01 17:41:52+00 | 1e8dc09e607e8626119f3785262274099e73eb2335588e55f73c15efdeeff341 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191587 | c4375eea4c91c3611e240fbccc889a76ac71db27c01420c529695f3c39654de4 | HC-007  | 2026-03-01 17:22:27+00 | 0.35726902869163457 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.24033339100720089 |       0.5672223183453349 |   0.021464262053749433 | 19.614693140833136 | 0.35726902869163457 | 609f8989791022b55256f3e983f8113432b0e4b335f8ad58e3065de9951e7e1c | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 13.516359369780956, "delta_vs_baseline": 13.516359369780956}, {"feature": "volume_surprise_60", "contribution": 0.7377786754174418, "delta_vs_baseline": -0.7377786754174418}, {"feature": "z_ret_60", "contribution": 0.08596767314538864, "delta_vs_baseline": -0.08596767314538864}, {"feature": "dq_penalty", "contribution": -0.006918141778333334, "delta_vs_baseline": 0.006918141778333334}]}    | 3719a41d-cf92-400f-894c-ec899579d7ed | 2026-03-01 17:41:52+00 | 578ff3d33f81510ed23f9463158d2eddda4225ba9e9218d6e2d4cda2384edc7b | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191586 | 38e80540247edee17e9f165f4648d24abba45aad2b80644c118865ed320cd966 | HC-006  | 2026-03-01 17:22:27+00 | 0.31923299043413716 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.17852242534914411 |      0.46420404224857353 |   0.019332708587980422 | 17.704209797174382 | 0.31923299043413716 | dbba68abff969c7eb793a3b97e97ea521b31593c4b13a611043ba47aa3d6eef5 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 2.1724796104569206, "delta_vs_baseline": 2.1724796104569206}, {"feature": "ewma_vol_60", "contribution": 1.9079759658424806, "delta_vs_baseline": 1.9079759658424806}, {"feature": "volume_surprise_60", "contribution": 0.9955721962025287, "delta_vs_baseline": -0.9955721962025287}, {"feature": "dq_penalty", "contribution": -0.00691798877, "delta_vs_baseline": 0.00691798877}]}                     | 6c17ddd3-35c8-4494-a065-222279d9f9e5 | 2026-03-01 17:41:52+00 | 590422ee35f4d4ac1c74c32f8fe2c553ff2d46ad9f4ef29b422fa2615962567a | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191585 | 2294adf5caf15c2ab1198f89b482cab74438040c64876f36f309bd99963c00fe | HC-005  | 2026-03-01 17:22:27+00 |  0.3452981278826062 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |   -0.2189321827798595 |       0.5315536379664325 |   0.023175530080152097 | 19.064038388436998 |  0.3452981278826062 | fe78d92cfafe3338fe3b6f5f8118e11d452cc4055d716125d58a80290ba87504 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 23.426066401878714, "delta_vs_baseline": 23.426066401878714}, {"feature": "volume_surprise_60", "contribution": 0.6913163596764514, "delta_vs_baseline": 0.6913163596764514}, {"feature": "z_ret_60", "contribution": 0.14743980031746215, "delta_vs_baseline": -0.14743980031746215}, {"feature": "dq_penalty", "contribution": -0.006919357199999999, "delta_vs_baseline": 0.006919357199999999}]}     | a1472651-38cd-4dd1-9030-1bec1687882b | 2026-03-01 17:41:52+00 | a79dc56e2897063e48ecfa5cd5f48071761933148a8107c7e975f09c8b4cacd4 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191584 | 6bc020b97e0e38ccd0ee36215cd2f09c8f74b249a994a9a820d6ef08e8daff1f | HC-001  | 2026-03-01 17:22:27+00 |  0.3223295274348379 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.18382331406591554 |       0.4730388567765259 |    0.01823202173528829 |  17.88687025807696 |  0.3223295274348379 | fa4ce76975b9e47dbb94fbf78ec2d8171e79562d109165bcea6ff455e2485e37 | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "ewma_vol_60", "contribution": 1.6935042541320438, "delta_vs_baseline": 1.6935042541320438}, {"feature": "volume_surprise_60", "contribution": 0.6006836703926673, "delta_vs_baseline": -0.6006836703926673}, {"feature": "z_ret_60", "contribution": 0.1963113598018618, "delta_vs_baseline": -0.1963113598018618}, {"feature": "dq_penalty", "contribution": -0.006920456643333334, "delta_vs_baseline": 0.006920456643333334}]}      | fa3973c2-489f-44e8-a5c0-983e67f7841c | 2026-03-01 17:41:52+00 | 365935ba9ea485ae7023a082fcdf603b58769d962aa64618bea75b1655e73447 | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
 191583 | d7b14294d3ed450733d947aff2393c874bce5442202a795cbd3c428b26b9bf82 | FIN-097 | 2026-03-01 17:22:27+00 | 0.29815111417608675 | stable   | Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60 |               |  -0.14390510871476161 |      0.40650851452460274 |   0.021957200801196595 | 16.533427177352344 | 0.29815111417608675 | cf46f91e7fa944932afa2d3a1f9bf51f90947e535180e741f1bf04947523715a | v2                  | quant-v1-2026-03-01 | platt_v1            | {"explanation": "Primary drivers: z_ret_60, volume_surprise_60, ewma_vol_60", "top_drivers": [{"feature": "z_ret_60", "contribution": 0.9341312196463809, "delta_vs_baseline": 0.9341312196463809}, {"feature": "ewma_vol_60", "contribution": 0.15743524114105026, "delta_vs_baseline": 0.15743524114105026}, {"feature": "volume_surprise_60", "contribution": 0.08575611220246429, "delta_vs_baseline": 0.08575611220246429}, {"feature": "dq_penalty", "contribution": -0.006920646203333334, "delta_vs_baseline": 0.006920646203333334}]}    | 318a43fd-ee53-4246-959e-a87c7aa8da9e | 2026-03-01 17:41:52+00 | cae1a6679df49c611d8c60704d570e252c1ad655d1c1a3e34f021c3591f26f5f | 6a873dbd943816987a7d3a0b3280f613977f811edadc87ecce1edde0aa6e681f
(25 rows)

